TXNAME	GENEID.group	GENEID.group_name	GENEID.value
mRNA:Solyc00g005000.3.1	1	NA	gene:Solyc00g005000.3
mRNA:Solyc00g005040.3.1	2	NA	gene:Solyc00g005040.3
mRNA:Solyc00g005050.3.1	3	NA	gene:Solyc00g005050.3
mRNA:Solyc00g005060.1.1	4	NA	gene:Solyc00g005060.1
mRNA:Solyc00g005080.2.1	5	NA	gene:Solyc00g005080.2
mRNA:Solyc00g005084.1.1	6	NA	gene:Solyc00g005084.1
mRNA:Solyc00g005090.1.1	7	NA	gene:Solyc00g005090.1
mRNA:Solyc00g005092.1.1	8	NA	gene:Solyc00g005092.1
mRNA:Solyc00g005094.1.1	9	NA	gene:Solyc00g005094.1
mRNA:Solyc00g005096.1.1	10	NA	gene:Solyc00g005096.1
mRNA:Solyc00g005280.1.1	11	NA	gene:Solyc00g005280.1
mRNA:Solyc00g005283.1.1	12	NA	gene:Solyc00g005283.1
mRNA:Solyc00g005285.1.1	13	NA	gene:Solyc00g005285.1
mRNA:Solyc00g005287.1.1	14	NA	gene:Solyc00g005287.1
mRNA:Solyc00g005430.1.1	15	NA	gene:Solyc00g005430.1
mRNA:Solyc00g005440.2.1	16	NA	gene:Solyc00g005440.2
mRNA:Solyc00g005445.1.1	17	NA	gene:Solyc00g005445.1
mRNA:Solyc00g005450.1.1	18	NA	gene:Solyc00g005450.1
mRNA:Solyc00g005460.2.1	19	NA	gene:Solyc00g005460.2
mRNA:Solyc00g005470.2.1	20	NA	gene:Solyc00g005470.2
mRNA:Solyc00g005480.1.1	21	NA	gene:Solyc00g005480.1
mRNA:Solyc00g005840.3.1	22	NA	gene:Solyc00g005840.3
mRNA:Solyc00g005850.2.1	23	NA	gene:Solyc00g005850.2
mRNA:Solyc00g005890.3.1	24	NA	gene:Solyc00g005890.3
mRNA:Solyc00g005900.2.1	25	NA	gene:Solyc00g005900.2
mRNA:Solyc00g006020.1.1	26	NA	gene:Solyc00g006020.1
mRNA:Solyc00g006090.1.1	27	NA	gene:Solyc00g006090.1
mRNA:Solyc00g006170.1.1	28	NA	gene:Solyc00g006170.1
mRNA:Solyc00g005903.1.1	29	NA	gene:Solyc00g005903.1
mRNA:Solyc00g005907.1.1	30	NA	gene:Solyc00g005907.1
mRNA:Solyc00g006480.1.1	31	NA	gene:Solyc00g006480.1
mRNA:Solyc00g006483.1.1	32	NA	gene:Solyc00g006483.1
mRNA:Solyc00g006487.1.1	33	NA	gene:Solyc00g006487.1
mRNA:Solyc00g006490.3.1	34	NA	gene:Solyc00g006490.3
mRNA:Solyc00g006500.1.1	35	NA	gene:Solyc00g006500.1
mRNA:Solyc00g006510.1.1	36	NA	gene:Solyc00g006510.1
mRNA:Solyc00g006520.1.1	37	NA	gene:Solyc00g006520.1
mRNA:Solyc00g006530.1.1	38	NA	gene:Solyc00g006530.1
mRNA:Solyc00g006540.1.1	39	NA	gene:Solyc00g006540.1
mRNA:Solyc00g006550.1.1	40	NA	gene:Solyc00g006550.1
mRNA:Solyc00g006560.1.1	41	NA	gene:Solyc00g006560.1
mRNA:Solyc00g006590.2.1	42	NA	gene:Solyc00g006590.2
mRNA:Solyc00g006650.1.1	43	NA	gene:Solyc00g006650.1
mRNA:Solyc00g006655.1.1	44	NA	gene:Solyc00g006655.1
mRNA:Solyc00g006660.1.1	45	NA	gene:Solyc00g006660.1
mRNA:Solyc00g006680.2.1	46	NA	gene:Solyc00g006680.2
mRNA:Solyc00g006683.1.1	47	NA	gene:Solyc00g006683.1
mRNA:Solyc00g006800.3.1	48	NA	gene:Solyc00g006800.3
mRNA:Solyc00g006805.1.1	49	NA	gene:Solyc00g006805.1
mRNA:Solyc00g006810.3.1	50	NA	gene:Solyc00g006810.3
mRNA:Solyc00g006820.3.1	51	NA	gene:Solyc00g006820.3
mRNA:Solyc00g006830.3.1	52	NA	gene:Solyc00g006830.3
mRNA:Solyc00g006840.3.1	53	NA	gene:Solyc00g006840.3
mRNA:Solyc00g006850.2.1	54	NA	gene:Solyc00g006850.2
mRNA:Solyc00g006860.2.1	55	NA	gene:Solyc00g006860.2
mRNA:Solyc00g006867.1.1	56	NA	gene:Solyc00g006867.1
mRNA:Solyc00g006870.1.1	57	NA	gene:Solyc00g006870.1
mRNA:Solyc00g006880.1.1	58	NA	gene:Solyc00g006880.1
mRNA:Solyc00g006890.1.1	59	NA	gene:Solyc00g006890.1
mRNA:Solyc00g006900.1.1	60	NA	gene:Solyc00g006900.1
mRNA:Solyc00g006903.1.1	61	NA	gene:Solyc00g006903.1
mRNA:Solyc00g006907.1.1	62	NA	gene:Solyc00g006907.1
mRNA:Solyc00g007550.1.1	63	NA	gene:Solyc00g007550.1
mRNA:Solyc00g007560.2.1	64	NA	gene:Solyc00g007560.2
mRNA:Solyc00g007555.1.1	65	NA	gene:Solyc00g007555.1
mRNA:Solyc00g007570.2.1	66	NA	gene:Solyc00g007570.2
mRNA:Solyc00g007600.2.1	67	NA	gene:Solyc00g007600.2
mRNA:Solyc00g007910.1.1	68	NA	gene:Solyc00g007910.1
mRNA:Solyc00g007920.1.1	69	NA	gene:Solyc00g007920.1
mRNA:Solyc00g007925.1.1	70	NA	gene:Solyc00g007925.1
mRNA:Solyc00g007930.1.1	71	NA	gene:Solyc00g007930.1
mRNA:Solyc00g007950.1.1	72	NA	gene:Solyc00g007950.1
mRNA:Solyc00g007960.1.1	73	NA	gene:Solyc00g007960.1
mRNA:Solyc00g007970.1.1	74	NA	gene:Solyc00g007970.1
mRNA:Solyc00g007980.1.1	75	NA	gene:Solyc00g007980.1
mRNA:Solyc00g007990.1.1	76	NA	gene:Solyc00g007990.1
mRNA:Solyc00g008000.1.1	77	NA	gene:Solyc00g008000.1
mRNA:Solyc00g008010.1.1	78	NA	gene:Solyc00g008010.1
mRNA:Solyc00g008020.1.1	79	NA	gene:Solyc00g008020.1
mRNA:Solyc00g008030.1.1	80	NA	gene:Solyc00g008030.1
mRNA:Solyc00g008040.1.1	81	NA	gene:Solyc00g008040.1
mRNA:Solyc00g008050.1.1	82	NA	gene:Solyc00g008050.1
mRNA:Solyc00g008055.1.1	83	NA	gene:Solyc00g008055.1
mRNA:Solyc00g008060.1.1	84	NA	gene:Solyc00g008060.1
mRNA:Solyc00g008070.2.1	85	NA	gene:Solyc00g008070.2
mRNA:Solyc00g008080.1.1	86	NA	gene:Solyc00g008080.1
mRNA:Solyc00g008090.2.1	87	NA	gene:Solyc00g008090.2
mRNA:Solyc00g008100.1.1	88	NA	gene:Solyc00g008100.1
mRNA:Solyc00g008110.1.1	89	NA	gene:Solyc00g008110.1
mRNA:Solyc00g008120.1.1	90	NA	gene:Solyc00g008120.1
mRNA:Solyc00g008130.1.1	91	NA	gene:Solyc00g008130.1
mRNA:Solyc00g008140.1.1	92	NA	gene:Solyc00g008140.1
mRNA:Solyc00g008150.1.1	93	NA	gene:Solyc00g008150.1
mRNA:Solyc00g008160.1.1	94	NA	gene:Solyc00g008160.1
mRNA:Solyc00g008165.1.1	95	NA	gene:Solyc00g008165.1
mRNA:Solyc00g008260.2.1	96	NA	gene:Solyc00g008260.2
mRNA:Solyc00g008265.1.1	97	NA	gene:Solyc00g008265.1
mRNA:Solyc00g008270.1.1	98	NA	gene:Solyc00g008270.1
mRNA:Solyc00g008570.2.1	99	NA	gene:Solyc00g008570.2
mRNA:Solyc00g008580.1.1	100	NA	gene:Solyc00g008580.1
mRNA:Solyc00g008800.2.1	101	NA	gene:Solyc00g008800.2
mRNA:Solyc00g008910.1.1	102	NA	gene:Solyc00g008910.1
mRNA:Solyc00g008915.1.1	103	NA	gene:Solyc00g008915.1
mRNA:Solyc00g009020.3.1	104	NA	gene:Solyc00g009020.3
mRNA:Solyc00g009030.2.1	105	NA	gene:Solyc00g009030.2
mRNA:Solyc00g009040.3.1	106	NA	gene:Solyc00g009040.3
mRNA:Solyc00g009050.2.1	107	NA	gene:Solyc00g009050.2
mRNA:Solyc00g009060.3.1	108	NA	gene:Solyc00g009060.3
mRNA:Solyc00g009070.1.1	109	NA	gene:Solyc00g009070.1
mRNA:Solyc00g009080.3.1	110	NA	gene:Solyc00g009080.3
mRNA:Solyc00g009090.3.1	111	NA	gene:Solyc00g009090.3
mRNA:Solyc00g009100.3.1	112	NA	gene:Solyc00g009100.3
mRNA:Solyc00g009110.3.1	113	NA	gene:Solyc00g009110.3
mRNA:Solyc00g009120.3.1	114	NA	gene:Solyc00g009120.3
mRNA:Solyc00g009140.3.1	115	NA	gene:Solyc00g009140.3
mRNA:Solyc00g009141.1.1	116	NA	gene:Solyc00g009141.1
mRNA:Solyc00g009142.1.1	117	NA	gene:Solyc00g009142.1
mRNA:Solyc00g009143.1.1	118	NA	gene:Solyc00g009143.1
mRNA:Solyc00g009144.1.1	119	NA	gene:Solyc00g009144.1
mRNA:Solyc00g009145.1.1	120	NA	gene:Solyc00g009145.1
mRNA:Solyc00g009146.1.1	121	NA	gene:Solyc00g009146.1
mRNA:Solyc00g009540.1.1	122	NA	gene:Solyc00g009540.1
mRNA:Solyc00g009148.1.1	123	NA	gene:Solyc00g009148.1
mRNA:Solyc00g009650.1.1	124	NA	gene:Solyc00g009650.1
mRNA:Solyc00g009760.2.1	125	NA	gene:Solyc00g009760.2
mRNA:Solyc00g009765.1.1	126	NA	gene:Solyc00g009765.1
mRNA:Solyc00g010410.1.1	127	NA	gene:Solyc00g010410.1
mRNA:Solyc00g010420.1.1	128	NA	gene:Solyc00g010420.1
mRNA:Solyc06g024330.2.1	129	NA	gene:Solyc06g024330.2
mRNA:Solyc00g010520.1.1	130	NA	gene:Solyc00g010520.1
mRNA:Solyc00g010525.1.1	131	NA	gene:Solyc00g010525.1
mRNA:Solyc00g010530.1.1	132	NA	gene:Solyc00g010530.1
mRNA:Solyc00g010750.2.1	133	NA	gene:Solyc00g010750.2
mRNA:Solyc00g010760.1.1	134	NA	gene:Solyc00g010760.1
mRNA:Solyc00g010755.1.1	135	NA	gene:Solyc00g010755.1
mRNA:Solyc00g010780.1.1	136	NA	gene:Solyc00g010780.1
